Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,26/08/2011,IT - Service Contracts,Finance & Corporate Services,FUJITSU SERVICES LTD,,Large,,5106167798,Exit Plan Charges,"34,534.80",
Communities & Local Government,DCLG,26/08/2011,IT - Service Contracts,Finance & Corporate Services,FUJITSU SERVICES LTD,,Large,,5106167799,Printer Managed Service,"19,216.60",
Communities & Local Government,DCLG,26/08/2011,IT - Service Contracts,Finance & Corporate Services,FUJITSU SERVICES LTD,,Large,,5106167839,Printer Managed Service,"20,881.68",
Communities & Local Government,DCLG,26/08/2011,Management Consultancy,Localism,MOTT MACDONALD LTD,,Large,,5106167801,20% Management Consultants New GL,"248,490.86",
Communities & Local Government,DCLG,26/08/2011,LA General GLA  Grant Payable,Strategic Performance Team,GREATER LONDON AUTHORITY,,Large,,2100206941,Running costs for Greater London Authority,"2,642,000.00",Yes
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CENTRE FOR PROCESS INNOVATION,,,,2100207156,NE ERDF Project - NE005093A,"34,752.62",
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,DURHAM COUNTY COUNCIL,,,,2100207158,NE ERDF Project - NE005042,"589,803.48",
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SUNDERLAND CITY COUNCIL,,,,2100207157,NE ERDF Project - NE005294,"46,376.35",
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CORNWALL DEVELOPMENT COMPANY LTD,,,,2100207146,SW convergence project072_000000202670,"525,127.54",
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CORNWALL COUNCIL,,,,2100207148,SW convergence project072_000000202370,"45,535.77",
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTHERN ARC LTD,,,,2100207151,SW comp project071_000000203074,"2,817.94",
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SERCO REGIONAL SERVICES LTD,,,,2100207155,SW comp project071_000000203559,"105,147.24"
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,TORBAY COUNCIL,,,,2100207153,SW comp project071_0000002033329,"3,141.01"
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WEST OF ENGLAND AEROSPACE FORUM,,,,2100207152,SW comp project071_000000203059,"64,386.67"
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WSX ENTERPRISE LIMITED,,,,2100207154,SW comp project071_000000202666,"42,163.64"
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,YTKO LIMITED,,,,2100207147,SW convergence project072_000000202372,"93,307.89"
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,YTKO LIMITED,,,,2100207150,SW comp project071_000000203509,"43,689.49"
Communities & Local Government,DCLG,30/08/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,YTKO LIMITED,,,,2100207150,SW comp project071_000000203803,"13,663.40"
Communities & Local Government,DCLG,30/08/2011,Agency Staff,Finance & Corporate Services,SQUARE ONE RESOURCES LTD,,Medium,,5106167885,SAP Dev & Support for BW,"2,858.82"
Communities & Local Government,DCLG,30/08/2011,Legal Fees,Finance & Corporate Services,LEIGH DAY & CO,,Medium,,2100207142,80121703 HOUSING LAW,"50,087.88"
Communities & Local Government,DCLG,30/08/2011,Legal Fees,Finance & Corporate Services,LEIGH DAY & CO,,Medium,,2100207145,80121703 HOUSING LAW,"13,181.03"
Communities & Local Government,DCLG,30/08/2011,Fixed Maintenance,Localism,VT FLAGSHIP INFRASTRUCTURE,,Large,,5106167806,SW FM Fixed Service Yr 3 20% VAT,"46,360.32"
Communities & Local Government,DCLG,30/08/2011,Fixed Maintenance,Localism,VT FLAGSHIP INFRASTRUCTURE,,Large,,5106167859,20% WM FM Fixed Service Yr 3,"46,006.84"
Communities & Local Government,DCLG,30/08/2011,Fixed Maintenance,Localism,VT FLAGSHIP INFRASTRUCTURE,,Large,,5106167863,NE FM Fixed Service Yr 3,"44,950.27"
Communities & Local Government,DCLG,30/08/2011,Fixed Maintenance,Localism,VT FLAGSHIP INFRASTRUCTURE,,Large,,5106167879,(20%) Y&H FM Fixed Service Yr 3,"45,214.42"
Communities & Local Government,DCLG,30/08/2011,Training,Neighbourhoods,REMA,,Micro,,5106167810,Training Executive Coaching,535.5
Communities & Local Government,DCLG,30/08/2011,Training,Finance & Corporate Services,FAIRPLACE LIMITED,,Medium,,5106167906,Support Workshops JF,"3,887.68"
Communities & Local Government,DCLG,30/08/2011,Training,Finance & Corporate Services,FAIRPLACE LIMITED,,Medium,,5106167907,Pre-Support Workshops,"2,600.00"
Communities & Local Government,DCLG,30/08/2011,Training,Finance & Corporate Services,FAIRPLACE LIMITED,,Medium,,5106167909,Pre-Support Workshops,"4,958.20"
Communities & Local Government,DCLG,30/08/2011,Telephone call costs,Finance & Corporate Services,BRITANNIC TECHNOLOGIES LTD,,Medium,,5106167865,Global Crossing Rentals,"47,157.78"
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,40.11
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,24.78
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,18
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,20.62
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,22.82
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,104.03
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,46.47
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,39.74
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,17.39
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,200.44
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,131.65
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,0.41
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,62.27
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,17.4
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,54.55
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,125.88
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,110.99
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,81.05
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,121.81
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,61.04
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,6.66
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,177.86
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,0.6
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,6.24
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,19.22
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,35.43
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,87.71
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,70.87
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,17.4
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,2.16
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,17.4
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,483.12
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,17.65
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,64.84
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,109.98
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,46.78
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,2
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,41.7
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,9.35
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,106.19
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,26.71
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,17.77
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,14.7
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,19.62
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,8.92
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,89.82
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,88.34
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,1.69
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,1.93
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,3.84
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,17.4
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,21.06
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,17.4
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,35.24
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,17.41
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,0.4
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,17.4
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,51.51
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,42.21
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,200.44
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,1.44
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,102.25
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,218
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,57.04
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,71.09
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,91.97
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,78.54
Communities & Local Government,DCLG,30/08/2011,Mobile phone costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,Micro,,2100207160,Quarterly Consolidated Telephone Costs ,111.81
