Department family,Entity,Entered On,Supplier Name,Expense Type,Expense Area,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,03/09/2009,THE FRIARY ELECTRICAL COMPANY,Building Improvements,Operations,9258,46982.39
Communities And Local Government,Queen Elizabeth II Conference Centre,03/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9262,54547.96
Communities And Local Government,Queen Elizabeth II Conference Centre,03/09/2009,CITY OF WESTMINSTER,Business Rates,Administration,9263,44717
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9264,990
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9266,997.24
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9267,4871.9
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9268,606.1
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9269,2399.1
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9270,5093
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9271,542.75
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9272,2685.1
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9274,3734.83
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9276,694.1
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9277,915.42
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Cost of Sales - Mini Shifts,Event Management,9279,1975
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,LIME,Building Improvements,Operations,9280,36315
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,LIME,Furniture,Operations,9281,4560
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,LIME,Furniture,Operations,9282,23920
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,LIME,Maintenance,Operations,9283,7139
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,LIME,Building Improvements,Operations,9284,19927
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,LIME,Building Improvements,Operations,9285,16889.25
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Building Improvements,Operations,9286,147240
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,LONDON FIRST,Membership Subscriptions,Commercial,9287,13500
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,SCHINDLER LIMITED,Maintenance,Operations,9289,3780
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,N2 CHECK LIMITED,Credit Control Costs,Administration,9290,900
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9292,4398.25
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2009,COMPLETE MEDIA GROUP,Advertising,Commercial,9293,2150
Communities And Local Government,Queen Elizabeth II Conference Centre,07/09/2009,Visit London Ltd,Exhibitions,Commercial,9296,5600
Communities And Local Government,Queen Elizabeth II Conference Centre,07/09/2009,FRIDAY'S MEDIA GROUP LIMITED,Marketing,Commercial,9297,2500
Communities And Local Government,Queen Elizabeth II Conference Centre,08/09/2009,LOUISA GLADWIN,Cost of Sales - Freelance Technicians,Interface,9298,600
Communities And Local Government,Queen Elizabeth II Conference Centre,08/09/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,9300,1030
Communities And Local Government,Queen Elizabeth II Conference Centre,09/09/2009,AP SET CONSTRUCTION LTD,Maintenance,Interface,9303,2750
Communities And Local Government,Queen Elizabeth II Conference Centre,09/09/2009,FABIO C. BARREIROS,Cost of Sales - Freelance Technicians,Interface,9304,600
Communities And Local Government,Queen Elizabeth II Conference Centre,09/09/2009,WATTERSTON ASSOCIATES LTD,Consultants,Commercial,9305,7800
Communities And Local Government,Queen Elizabeth II Conference Centre,09/09/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9306,933.01
Communities And Local Government,Queen Elizabeth II Conference Centre,09/09/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,9308,1044.98
Communities And Local Government,Queen Elizabeth II Conference Centre,09/09/2009,ADAM WILLIAMS,Cost of Sales - Freelance Technicians,Interface,9310,608
Communities And Local Government,Queen Elizabeth II Conference Centre,09/09/2009,JIM COUGHLAN VISUAL COMM. LTD,Cost of Sales - Freelance Technicians,Interface,9311,662
Communities And Local Government,Queen Elizabeth II Conference Centre,10/09/2009,EDF ENERGY,Electricity,Operations,9313,37531.48
Communities And Local Government,Queen Elizabeth II Conference Centre,10/09/2009,CUNDALL JOHNSTON & PARTNERS LLP,Consultants,Operations,9314,5923
Communities And Local Government,Queen Elizabeth II Conference Centre,10/09/2009,Office Projects Ltd,Maintenance,Operations,9316,8620
Communities And Local Government,Queen Elizabeth II Conference Centre,10/09/2009,VOHM,Marketing,Commercial,9317,600
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2009,Bosco O'Toole,Cost of Sales - Freelance Technicians,Interface,9323,800
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2009,DELPHINI LTD,Maintenance,Interface,9325,1400
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2009,DELPHINI LTD,Maintenance,Interface,9326,1990
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9327,41519.83
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,Nexus Venues,Cost of Sales - Commission,Commercial,9328,761.5
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,TERRY KING,Agency Labour,Interface,9329,2025
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,ABS CASES LTD,Maintenance,Interface,9337,445
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,BARCLAYCARD PROCUREMENT CARD,Internet & Telecomms,ITC Department,9338,248.48
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,BARCLAYCARD PROCUREMENT CARD,Mobile Phone Costs,Interface,9338,172.5
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,BARCLAYCARD PROCUREMENT CARD,Membership Subscriptions,Operations,9338,18
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,BARCLAYCARD PROCUREMENT CARD,IT Equipment Maintenance,ITC Department,9338,3439.02
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,BARCLAYCARD PROCUREMENT CARD,Maintenance,Operations,9338,1183.23
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,BARCLAYCARD PROCUREMENT CARD,Carriage,Interface,9338,24.99
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,Interface,9338,9.95
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,BARCLAYCARD PROCUREMENT CARD,Licence Costs,Administration,9338,800
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,ITC Department,9338,16.25
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9339,1153.96
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,MATTHEW WILDE,Cost of Sales - Freelance Technicians,Interface,9340,831
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,9342,631
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,9343,1077
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,THAMES WATER UTILITIES LTD,Water,Operations,9344,81594.13
Communities And Local Government,Queen Elizabeth II Conference Centre,15/09/2009,GREATER LONDON HIRE LTD,Carriage,Interface,9345,798.14
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2009,InterCall Conferencing Services Ltd,Cost of Sales - Equipment Hire,ITC Department,9346,3745
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2009,PLANTERIA GROUP (UK) LTD,Maintenance,Operations,9347,460
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2009,BEN SHEPHERD T/A Live Horizon Ltd,Cost of Sales - Freelance Technicians,Interface,9351,631
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2009,JASON BARTON,Cost of Sales - Freelance Technicians,Interface,9352,616
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2009,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,9356,1131.5
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2009,STEELDECK RENTALS LTD,Cost of Sales - Equipment Hire,Interface,9358,88.2
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2009,STEELDECK RENTALS LTD,Cost of Sales - Sets,Interface,9358,306.49
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2009,STEELDECK RENTALS LTD,Cost of Sales - Freelance Technicians,Interface,9358,386
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2009,RIVER THAMES EVENTS,Marketing,Commercial,9359,659.3
Communities And Local Government,Queen Elizabeth II Conference Centre,18/09/2009,GALLOWGLASS LIMITED,Maintenance,Operations,9360,480
Communities And Local Government,Queen Elizabeth II Conference Centre,18/09/2009,LIME,Maintenance,Operations,9364,2100
Communities And Local Government,Queen Elizabeth II Conference Centre,18/09/2009,A PERTON SIGNS LIMITED,Maintenance,Operations,9365,16356
Communities And Local Government,Queen Elizabeth II Conference Centre,18/09/2009,MGM WORKSAFE,Consultants,Operations,9367,800
Communities And Local Government,Queen Elizabeth II Conference Centre,18/09/2009,MGM WORKSAFE,Consultants,Operations,9368,800
Communities And Local Government,Queen Elizabeth II Conference Centre,18/09/2009,MGM WORKSAFE,Consultants,Operations,9369,1000
Communities And Local Government,Queen Elizabeth II Conference Centre,18/09/2009,TWC (WESTMINSTER) LTD,Membership Subscriptions,Commercial,9370,1500
Communities And Local Government,Queen Elizabeth II Conference Centre,18/09/2009,THAMES WATER UTILITIES LTD,Water,Operations,9371,5534.83
Communities And Local Government,Queen Elizabeth II Conference Centre,21/09/2009,JIM COUGHLAN VISUAL COMM. LTD,Cost of Sales - Freelance Technicians,Interface,9374,687
Communities And Local Government,Queen Elizabeth II Conference Centre,21/09/2009,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,9375,1925
Communities And Local Government,Queen Elizabeth II Conference Centre,21/09/2009,CHRIS BRAUN,Maintenance,Interface,9375,200
Communities And Local Government,Queen Elizabeth II Conference Centre,21/09/2009,CHRIS BRAUN,Marketing,Commercial,9375,200
Communities And Local Government,Queen Elizabeth II Conference Centre,21/09/2009,CHRIS BRAUN,Office Move,Commercial,9375,200
Communities And Local Government,Queen Elizabeth II Conference Centre,22/09/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,9384,1295
Communities And Local Government,Queen Elizabeth II Conference Centre,23/09/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,9388,3180.47
Communities And Local Government,Queen Elizabeth II Conference Centre,23/09/2009,PETER SIMMONS,Cost of Sales - Freelance Technicians,Interface,9389,800
Communities And Local Government,Queen Elizabeth II Conference Centre,23/09/2009,MICHAEL NEVARD,Cost of Sales - Freelance Technicians,Interface,9390,600
Communities And Local Government,Queen Elizabeth II Conference Centre,23/09/2009,Visit London Ltd,Marketing,Commercial,9398,2750
Communities And Local Government,Queen Elizabeth II Conference Centre,23/09/2009,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,9405,1267
Communities And Local Government,Queen Elizabeth II Conference Centre,23/09/2009,VERIZON UK LIMITED,Marketing,Commercial,9405,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,24/09/2009,GBM SERVICES LIMITED,Insurable Losses,Administration,9406,1345
Communities And Local Government,Queen Elizabeth II Conference Centre,24/09/2009,ADAM WILLIAMS,Cost of Sales - Freelance Technicians,Interface,9407,661
Communities And Local Government,Queen Elizabeth II Conference Centre,24/09/2009,VERIZON UK LIMITED,Cost of Sales - Telecommunications,ITC Department,9408,769.11
Communities And Local Government,Queen Elizabeth II Conference Centre,25/09/2009,CORONA ENERGY,Gas,Operations,9410,2819.86
Communities And Local Government,Queen Elizabeth II Conference Centre,25/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9413,54547.96
Communities And Local Government,Queen Elizabeth II Conference Centre,25/09/2009,TERRY TEW SOUND & LIGHT,Cost of Sales - Equipment Hire,Interface,9414,501.6
Communities And Local Government,Queen Elizabeth II Conference Centre,25/09/2009,COMPLETE OFFICE SYSTEMS LTD,Cost of Sales - Equipment Hire,Interface,9416,1230
Communities And Local Government,Queen Elizabeth II Conference Centre,25/09/2009,ZARGES (UK) LIMITED,Maintenance,Interface,9419,660
Communities And Local Government,Queen Elizabeth II Conference Centre,25/09/2009,EVE TRAKWAY LTD,Cost of Sales - Equipment Hire,Operations,9420,840
Communities And Local Government,Queen Elizabeth II Conference Centre,28/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9426,2047.1
Communities And Local Government,Queen Elizabeth II Conference Centre,28/09/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,9427,5144.76
